;Scaffold;BEGIN;END;EB1_S114;EB11_S84;EB12_S85;EB13_S86;EB14_S87;EB15_S88;EB16_S89;EB17_S90;EB18_S91;EB19_S92;EB2_S115;EB20_S93;EB21_S94;EB22_S95;EB24_S96;EB25_S97;EB26_S98;EB27_S99;EB28_S100;EB29_S101;EB3_S116;EB30_S102;EB31_S103;EB32_S104;EB33_S105;EB34_S106;EB35_S107;EB37_S108;EB38_S109;EB39_S110;EB40_S111;EB41_S112;EB42_S113;EB6_S117;EB7_S118;EB8_S119;EB9_S83
1;NC_072852.1;0;500000;0,00130747;0,00171524;0,00164535;0,00140446;0,00164429;0,00151705;0,00162035;0,0014106;0,0014567;0,00128029;0,00151623;0,00142366;0,000511581;0,00049473;0,0012857;0,00129549;0,00143888;0,00158515;0,000476431;0,00067944;0,00162108;0,000566858;0,00135831;0,00159696;0,00146521;0,00140752;0,00185313;0,0018367;0,00183902;0,000577494;0,000551307;0,00187672;0,00171601;0,00124553;0,00116373;0,00143485;0,00108845
2;NC_072852.1;500000;1000000;0,00222414;0,0021903;0,00114075;0,00196586;0,000962948;0,00204352;0,00198488;0,0020521;0,00123927;0,00210219;0,00203016;0,00129587;0,00107163;0,00261204;0,00194988;0,00206218;0,00209904;0,00233621;0,00101676;0,00103447;0,00228054;0,00102231;0,00216751;0,00233206;0,00200264;0,00206035;0,00237242;0,00237555;0,00130934;0,0010518;0,000324187;0,00220855;0,00185549;0,00181433;0,00194616;0,00207373;0,00196621
3;NC_072852.1;1000000;1500000;0,00370149;0,00349957;0,00276419;0,00242448;0,00236281;0,00352992;0,00382974;0,0033022;0,00188675;0,00319843;0,00282583;0,00311149;0,00258186;0,00360594;0,00269004;0,00363954;0,00355074;0,00373327;0,00386767;0,00335862;0,00350236;0,00372344;0,00378555;0,00243582;0,00351458;0,00306788;0,00263206;0,0030876;0,00357264;0,00340057;0,00248699;0,00380927;0,00190515;0,00230857;0,00277522;0,00386721;0,00371769
4;NC_072852.1;1500000;2000000;0,00135208;0,00146773;0,00131948;5,12578e-05;0,0011573;0,00104006;0,00136375;0,000685297;9,22945e-05;4,90192e-05;5,99576e-05;0,00123735;0,00111268;0,000782164;4,31678e-05;0,00121328;0,000858713;0,00146669;0,00134556;0,0011421;0,000816764;0,000477398;0,00137984;0,00127047;0,00127192;0,0010314;0,00130539;0,00133603;0,00129746;0,000429335;0,000996648;0,000584756;0,00129425;0,00129127;4,5867e-05;0,00108747;0,00132433
5;NC_072852.1;2000000;2500000;0,000957044;0,00115232;0,000928651;6,79142e-06;0,000978701;0,00095346;0,000923927;0,000865316;1,40441e-05;1,4001e-05;2,77769e-05;0,00123531;0,000552576;0,00114014;0,00105123;0,00111836;0,000877669;0,00123687;0,00114099;8,75615e-05;0,00089135;2,31811e-05;0,000903252;0,00108346;0,0010843;0,0011152;0,00113277;0,00114629;0,0011691;1,27424e-05;0,000998043;3,00751e-06;0,000898279;0,000962893;1,93625e-05;0,00118546;0,00098369
6;NC_072852.1;2500000;3000000;0,00114746;0,00113467;0,00129058;1,4038e-05;0,00127842;0,00125103;0,00125345;0,00108649;1,71871e-05;1,87923e-05;1,0125e-05;0,00145237;0,00139006;0,00127089;0,00125716;0,00104745;0,00109972;0,00136184;0,00107797;4,30991e-06;0,00108081;2,62304e-06;0,00139143;0,00155272;0,00142886;0,00121409;0,00108129;0,00154919;0,00121438;1,39697e-05;0,00148307;1,89832e-07;0,0015378;0,00125865;1,5638e-05;0,00149436;0,00137613
7;NC_072852.1;3000000;3500000;0,00105852;0,00131469;0,00132311;2,02722e-05;0,00133615;0,00112086;0,00129002;0,00126067;1,95916e-05;3,8192e-05;1,35434e-05;0,00140166;0,00125092;0,00135337;0,00107738;0,000959136;0,00132603;0,00149011;0,00127316;0,00141389;0,00135735;0,00143902;0,00135684;0,00131866;0,00135302;0,000933582;0,00101857;0,00125416;0,001094;0,00138846;0,00129768;1,10998e-05;0,00126418;0,00118264;1,54549e-05;0,00142368;0,00120411
8;NC_072852.1;3500000;4000000;0,000927338;0,00115211;0,00110439;2,95594e-05;0,00106061;0,00103497;0,000596706;0,00109796;4,68476e-05;5,78038e-06;5,09994e-05;0,00121318;0,00106621;0,00116486;0,000881389;0,00104128;0,00108095;0,00104205;0,00106467;0,00109738;0,00113955;0,00112231;0,00127444;0,000944464;0,000789664;0,000998258;0,00108059;0,000974175;0,000770577;0,00110659;0,00100905;2,12604e-05;0,00111454;0,000588389;2,8464e-05;0,000995215;0,00105584
9;NC_072852.1;4000000;4500000;0,000538922;0,0010674;0,000754519;1,91232e-05;0,000941698;0,000955718;0,00103601;0,000776201;0,000726758;0,000433691;0,000517778;0,000907484;0,000922545;0,00073326;0,000463182;0,000874208;0,000737118;0,000995091;0,00109554;0,00117173;0,000775886;0,00105165;0,000636133;0,000857532;0,000896903;0,00103051;0,000892938;0,000922085;0,00105088;0,00110175;0,000912159;0,000177091;0,0010667;0,000982254;2,48836e-05;0,00113636;0,000564847
10;NC_072852.1;4500000;5000000;0,00117444;0,00166981;0,00121627;1,18801e-05;0,00133883;0,00135862;0,00148874;0,00149844;0,00127809;0,00131221;0,000688373;0,00119165;0,00118294;0,0012002;0,00135999;0,000915665;0,00145821;0,00110787;0,00108743;0,00130561;0,00153048;0,00123609;5,31465e-05;0,00123178;0,00118649;0,00136443;0,000950494;0,000776346;0,00129758;0,00127108;0,00135126;0,00142399;0,00147767;0,00143502;7,09509e-06;0,00130649;0,000663035
